id,name,image_url
74093,Syrah 2023 - Grande Réserve - Maison Castel,https://www.vinatis.com/74093-detail_default/syrah-2023---grande-réserve---maison-castel.png
71855,Cheverny Blanc - Vieilles Vignes 2023 - Domaine du Salvard,https://www.vinatis.com/71855-detail_default/cheverny-blanc---vieilles-vignes-2023---domaine-du-salvard.png
63880,Savigny Les Beaune 2017 - Maison Patriarche,https://www.vinatis.com/63880-detail_default/savigny-les-beaune-2017---maison-patriarche.png
70535,Vieille Mule rouge 2023 - Jeff Carrel,https://www.vinatis.com/70535-detail_default/vieille-mule-rouge-2023---jeff-carrel.png
68497,Pas Vu Pas Pris 2023 - Jeff Carrel,https://www.vinatis.com/68497-detail_default/pas-vu-pas-pris-2023---jeff-carrel.png
41882,Les Bories 2019 - Romain Duvernay,https://www.vinatis.com/41882-detail_default/les-bories-2019---romain-duvernay.png
69390,Réserve Rouge 2022 - Château Lamothe-Vincent,https://www.vinatis.com/69390-detail_default/réserve-rouge-2022---château-lamothe-vincent.png
67903,Palacio Del Burgo Reserva 2019 - Bodegas Burgo Viejo,https://www.vinatis.com/67903-detail_default/palacio-del-burgo-reserva-2019---bodegas-burgo-viejo.png
71081,Le Pigeonnier 2023 - Cave de Pazac,https://www.vinatis.com/71081-detail_default/le-pigeonnier-2023---cave-de-pazac.png
72272,Accord Parfait - Pic Saint Loup 2023,https://www.vinatis.com/72272-detail_default/accord-parfait---pic-saint-loup-2023.png
26190,Arcane XV le Diable 2015 - Xavier Vignon,https://www.vinatis.com/26190-detail_default/arcane-xv-le-diable-2015---xavier-vignon.png
41456,Crémant de Bourgogne Rosé - Perle d'Aurore - Louis Bouillot,https://www.vinatis.com/41456-detail_default/crémant-de-bourgogne-rosé---perle-d'aurore---louis-bouillot.png
73187,Made in Provence Collection Rosé 2024 - Domaine des Diables,https://www.vinatis.com/73187-detail_default/made-in-provence-collection-rosé-2024---domaine-des-diables.png
68350,Montepulciano d'Abruzzo Riserva Terre della Brunda 2020 - Botter,https://www.vinatis.com/68350-detail_default/montepulciano-d'abruzzo-riserva-terre-della-brunda-2020---botter.png
66073,Côteaux Bourguignons - la Grande Cadole 2023 - Vignerons de Bel Air,https://www.vinatis.com/66073-detail_default/côteaux-bourguignons---la-grande-cadole-2023---vignerons-de-bel-air.png
71562,Ultime Récolte 2023 - Jeff Carrel,https://www.vinatis.com/71562-detail_default/ultime-récolte-2023---jeff-carrel.png
72589,Rioja Crianza 2020 - Bodegas Burgo Viejo,https://www.vinatis.com/72589-detail_default/rioja-crianza-2020---bodegas-burgo-viejo.png
69939,Muscadet Sèvre et Maine 2022 - Clos des Orfeuilles,https://www.vinatis.com/69939-detail_default/muscadet-sèvre-et-maine-2022---clos-des-orfeuilles.png
71328,Château Tertre du Boilon 2020,https://www.vinatis.com/71328-detail_default/château-tertre-du-boilon-2020.png
73258,La Remontada 2022 - Jeff Carrel,https://www.vinatis.com/73258-detail_default/la-remontada-2022---jeff-carrel.png
53463,IGP Vaucluse - Vieux Clocher 2020 - Maison Arnoux & Fils,https://www.vinatis.com/53463-detail_default/igp-vaucluse---vieux-clocher-2020---maison-arnoux-&-fils.png
74898,Peyrassol Méditerranée 2024,https://www.vinatis.com/74898-detail_default/peyrassol-méditerranée-2024.png
73638,Bourgogne Hautes Côtes de Beaune - la Couleuvraire 2022 - Parcelles & Cie - Nuiton Beaunoy,https://www.vinatis.com/73638-detail_default/bourgogne-hautes-côtes-de-beaune---la-couleuvraire-2022---parcelles-&-cie---nuiton-beaunoy.png
70325,Ventoux 2022 - Xavier Vignon,https://www.vinatis.com/70325-detail_default/ventoux-2022---xavier-vignon.png
71622,Pic Saint-Loup - Coste d'Aleyrac 2023 - Château de Lancyre,https://www.vinatis.com/71622-detail_default/pic-saint-loup---coste-d'aleyrac-2023---château-de-lancyre.png
77182,M de Minuty Rosé 2024 - Édition Limitée Elliott Routledge,https://www.vinatis.com/77182-detail_default/m-de-minuty-rosé-2024---édition-limitée-elliott-routledge.png
66075,Julienas - Les Clochers 2023 - Vignerons de Bel Air,https://www.vinatis.com/66075-detail_default/julienas---les-clochers-2023---vignerons-de-bel-air.png
70228,Grand Marrenon 2022 - Marrenon,https://www.vinatis.com/70228-detail_default/grand-marrenon-2022---marrenon.png
70399,Gatefer 2021 - Domaine de la Clapière,https://www.vinatis.com/70399-detail_default/gatefer-2021---domaine-de-la-clapière.png
66219,Viognier - La Combe Pilate 2023 - M. Chapoutier,https://www.vinatis.com/66219-detail_default/viognier---la-combe-pilate-2023---m.-chapoutier.png
69118,La Pompadour 2022 - Cave de Castelmaure,https://www.vinatis.com/69118-detail_default/la-pompadour-2022---cave-de-castelmaure.png
73826,C'est Trop' 2024 - Les Maitres Vignerons de la Presqu'île de Saint-Tropez,https://www.vinatis.com/73826-detail_default/c'est-trop'-2024---les-maitres-vignerons-de-la-presqu'île-de-saint-tropez.png
55348,Moscato Spumante Dolce - Petalo Il Vino dell'Amore - Bottega,https://www.vinatis.com/55348-detail_default/moscato-spumante-dolce---petalo-il-vino-dell'amore---bottega.png
68496,Villa des Anges - Chardonnay 2023 - Jeff Carrel,https://www.vinatis.com/68496-detail_default/villa-des-anges---chardonnay-2023---jeff-carrel.png
69793,Haut Marin - N°1 - Littorine 2023,https://www.vinatis.com/69793-detail_default/haut-marin---n°1---littorine-2023.png
72602,Côtes du Rhône - Richette 2020 - Patrick Lesec,https://www.vinatis.com/72602-detail_default/côtes-du-rhône---richette-2020---patrick-lesec.png
74618,Le Bijou 2024 - Bijou Wine,https://www.vinatis.com/74618-detail_default/le-bijou-2024---bijou-wine.png
6300,Lambrusco Reggiano Dolce - Quercioli - Medici Ermete,https://www.vinatis.com/6300-detail_default/lambrusco-reggiano-dolce---quercioli---medici-ermete.png
72539,Bourgogne Chardonnay  2023 - Carillon des Moines,https://www.vinatis.com/72539-detail_default/bourgogne-chardonnay--2023---carillon-des-moines.png
75204,Miral - Grillo Sicilia 2024 - Cantine Fina,https://www.vinatis.com/75204-detail_default/miral---grillo-sicilia-2024---cantine-fina.png
74266,Seicaselle Negroamaro 2023 - Tagaro,https://www.vinatis.com/74266-detail_default/seicaselle-negroamaro-2023---tagaro.png
72441,Mourvèdre 2022 - Les Jamelles,https://www.vinatis.com/72441-detail_default/mourvèdre-2022---les-jamelles.png
27367,Arcane XIX le Soleil 2015 - Xavier Vignon,https://www.vinatis.com/27367-detail_default/arcane-xix-le-soleil-2015---xavier-vignon.png
61074,Constance 2019 - Thunevin-Calvet,https://www.vinatis.com/61074-detail_default/constance-2019---thunevin-calvet.png
68438,Sancerre Blanc 2023 - Pascal Balland,https://www.vinatis.com/68438-detail_default/sancerre-blanc-2023---pascal-balland.png
32319,Arcane VI Les Amoureux 2016 - Xavier Vignon,https://www.vinatis.com/32319-detail_default/arcane-vi-les-amoureux-2016---xavier-vignon.png
74727,M de Minuty Rosé 2024,https://www.vinatis.com/74727-detail_default/m-de-minuty-rosé-2024.png
70557,Cuvée Clemence 2023 - Cheval Quancard,https://www.vinatis.com/70557-detail_default/cuvée-clemence-2023---cheval-quancard.png
69868,Ventoux Bio - Le Vieux Clocher 2023 - Maison Arnoux & Fils,https://www.vinatis.com/69868-detail_default/ventoux-bio---le-vieux-clocher-2023---maison-arnoux-&-fils.png
67921,Pinot Noir 2023 - Sophie Schaal,https://www.vinatis.com/67921-detail_default/pinot-noir-2023---sophie-schaal.png
69080,Le Cirque 2022 - Terres Plurielles,https://www.vinatis.com/69080-detail_default/le-cirque-2022---terres-plurielles.png
71865,Mas de Jon - Pic Saint Loup 2023,https://www.vinatis.com/71865-detail_default/mas-de-jon---pic-saint-loup-2023.png
64570,Mâcon la Roche-Vineuse 2022 - Château de la Greffière,https://www.vinatis.com/64570-detail_default/mâcon-la-roche-vineuse-2022---château-de-la-greffière.png
74623,Watusi 2024 - Puech Haut,https://www.vinatis.com/74623-detail_default/watusi-2024---puech-haut.png
74432,Pierres de Moulin 2024 -  Domaine de la Fouquette,https://www.vinatis.com/74432-detail_default/pierres-de-moulin-2024----domaine-de-la-fouquette.png
70464,Orélie Rouge 2023 - Vignerons Ardéchois,https://www.vinatis.com/70464-detail_default/orélie-rouge-2023---vignerons-ardéchois.png
45066,Crémant de Bordeaux Blanc Brut - Louis Vallon,https://www.vinatis.com/45066-detail_default/crémant-de-bordeaux-blanc-brut---louis-vallon.png
68474,Touraine Sauvignon Blanc 2023 - Château de Vallagon,https://www.vinatis.com/68474-detail_default/touraine-sauvignon-blanc-2023---château-de-vallagon.png
71084,Carmenere 2023 - El Grano,https://www.vinatis.com/71084-detail_default/carmenere-2023---el-grano.png
74625,Greg & Juju 2024 -  Domaines Robert Vic Preignes le Vieux,https://www.vinatis.com/74625-detail_default/greg-&-juju-2024----domaines-robert-vic-preignes-le-vieux.png
66053,Morgon  - Les Clochers 2023 - Vignerons de Bel Air,https://www.vinatis.com/66053-detail_default/morgon----les-clochers-2023---vignerons-de-bel-air.png
65941,Quincy 2023 - Domaine JM Sorbe,https://www.vinatis.com/65941-detail_default/quincy-2023---domaine-jm-sorbe.png
74235,Terra Nostra - Rosé 2024,https://www.vinatis.com/74235-detail_default/terra-nostra---rosé-2024.png
75265,Sunrose - Sable de Camargue 2024,https://www.vinatis.com/75265-detail_default/sunrose---sable-de-camargue-2024.png
77226,Côtes du Rhone 2024 - Yannick Alleno & M. Chapoutier,https://www.vinatis.com/77226-detail_default/côtes-du-rhone-2024---yannick-alleno-&-m.-chapoutier.png
72632,Côtes du Rhône 2023 - Domaine de la Guintrandy,https://www.vinatis.com/72632-detail_default/côtes-du-rhône-2023---domaine-de-la-guintrandy.png
66279,Rasteau Prestige Talisman 2020 - Romain Duvernay,https://www.vinatis.com/66279-detail_default/rasteau-prestige-talisman-2020---romain-duvernay.png
69971,Montfollet le Valentin Blanc 2023,https://www.vinatis.com/69971-detail_default/montfollet-le-valentin-blanc-2023.png
58171,Villa des Anges - Cabernet-Sauvignon 2022 - Jeff Carrel,https://www.vinatis.com/58171-detail_default/villa-des-anges---cabernet-sauvignon-2022---jeff-carrel.png
74234,Terrazza d'Isula 2024,https://www.vinatis.com/74234-detail_default/terrazza-d'isula-2024.png
57189,La Terre du Milieu 2020 - Sans Sulfites Ajoutés - Château Graulet,https://www.vinatis.com/57189-detail_default/la-terre-du-milieu-2020---sans-sulfites-ajoutés---château-graulet.png
69935,Saumur Champigny  - Sénonien 2023 - La Seigneurie,https://www.vinatis.com/69935-detail_default/saumur-champigny----sénonien-2023---la-seigneurie.png
74289,N°7 - Rouge Merlot-Tannat 2024 - UBY,https://www.vinatis.com/74289-detail_default/n°7---rouge-merlot-tannat-2024---uby.png
69850,Citran - Bordeaux Supérieur 2022,https://www.vinatis.com/69850-detail_default/citran---bordeaux-supérieur-2022.png
71202,St Nicolas de Bourgueil - Cuvée Domaine 2023 - Domaine Olivier,https://www.vinatis.com/71202-detail_default/st-nicolas-de-bourgueil---cuvée-domaine-2023---domaine-olivier.png
75082,Accord Parfait - La Clape 2023,https://www.vinatis.com/75082-detail_default/accord-parfait---la-clape-2023.png
74938,Vouvray sec – Confidences 2024 – Famille Bougrier,https://www.vinatis.com/74938-detail_default/vouvray-sec-–-confidences-2024-–-famille-bougrier.png
72618,Gourgoules 2023 - Château de Caraguilhes,https://www.vinatis.com/72618-detail_default/gourgoules-2023---château-de-caraguilhes.png
